date,week,meal,product,M,P,F,C,FBR,SGR,K,Pg,Fg,Cg,FBRg,SGRg,Kcal
01.01.2020,20_1,1,Овсянка,70,13,6,63,9,0,360,"9,1","4,2","44,1","6,3",0,252
01.01.2020,20_1,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
01.01.2020,20_1,1,кешью,15,18,44,30,,,553,"2,7","6,6","4,5",0,0,"82,95"
01.01.2020,20_1,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
01.01.2020,20_1,1,Овсянка,50,13,6,63,9,0,360,"6,5",3,"31,5","4,5",0,180
01.01.2020,20_1,1,лосось вар,100,"19,7","8,94","0,52",,,152,"19,7","8,94","0,52",0,0,152
01.01.2020,20_1,1,макароны вар 150/320,80,7,1,32,,,163,"5,6","0,8","25,6",0,0,"130,4"
01.01.2020,20_1,1,Овсянка,30,13,6,63,9,0,360,"3,9","1,8","18,9","2,7",0,108
01.01.2020,20_1,1,Яйцо белок,60,"11,1",0,1,0,0,46,"6,66",0,"0,6",0,0,"27,6"
01.01.2020,20_1,1,лосось вар,70,"19,7","8,94","0,52",,,152,"13,79","6,258","0,364",0,0,"106,4"
01.01.2020,20_1,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
02.01.2020,20_1,1,Овсянка,70,13,6,63,9,0,360,"9,1","4,2","44,1","6,3",0,252
02.01.2020,20_1,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
02.01.2020,20_1,1,Президент 76,15,"7,4","47,5","35,5",,,599,"1,11","7,125","5,325",0,0,"89,85"
02.01.2020,20_1,1,рыбий жир,7,0,100,0,,,900,0,7,0,0,0,63
02.01.2020,20_1,1,сушки ванильные,6,"9,5",5,74,"2,9","0,3",379,"0,57","0,3","4,44","0,174","0,018","22,74"
02.01.2020,20_1,1,мед,6,"0,5","0,2",80,0,80,330,"0,03","0,012","4,8",0,"4,8","19,8"
02.01.2020,20_1,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
02.01.2020,20_1,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
02.01.2020,20_1,1,рис бур вар,250,3,1,26,,,120,"7,5","2,5",65,0,0,300
02.01.2020,20_1,1,лосось вар,120,"19,7","8,94","0,52",,,152,"23,64","10,728","0,624",0,0,"182,4"
02.01.2020,20_1,1,Свинина полендвица,54,"16,5","22,3",0,0,0,270,"8,91","12,042",0,0,0,"145,8"
02.01.2020,20_1,1,рис бур вар,200,3,1,26,,,120,6,2,52,0,0,240
02.01.2020,20_1,1,Яйцо белок,200,"11,1",0,1,0,0,46,"22,2",0,2,0,0,92
02.01.2020,20_1,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
02.01.2020,20_1,1,сушки ванильные,2,"9,5",5,74,"2,9","0,3",379,"0,19","0,1","1,48","0,058","0,006","7,58"
02.01.2020,20_1,1,кешью,15,18,44,30,,,553,"2,7","6,6","4,5",0,0,"82,95"
02.01.2020,20_1,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
02.01.2020,20_1,1,мандарин,80,"0,8","0,3",13,,,53,"0,64","0,24","10,4",0,0,"42,4"
03.01.2020,20_1,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
03.01.2020,20_1,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
03.01.2020,20_1,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
03.01.2020,20_1,1,рыбий жир,7,0,100,0,,,900,0,7,0,0,0,63
03.01.2020,20_1,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
03.01.2020,20_1,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
03.01.2020,20_1,1,грудка,200,31,"3,6",0,0,0,165,62,"7,2",0,0,0,330
03.01.2020,20_1,1,Яйцо белок,200,"11,1",0,1,0,0,46,"22,2",0,2,0,0,92
03.01.2020,20_1,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
03.01.2020,20_1,1,помидор,330,"0,9","0,2","3,9","1,2","2,63",18,"2,97","0,66","12,87","3,96","8,679","59,4"
03.01.2020,20_1,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
03.01.2020,20_1,1,масло оливковое,12,0,92,0,0,0,824,0,"11,04",0,0,0,"98,88"
03.01.2020,20_1,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
03.01.2020,20_1,1,чернослив,40,"2,2","0,4",64,,,240,"0,88","0,16","25,6",0,0,96
04.01.2020,20_1,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
04.01.2020,20_1,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
04.01.2020,20_1,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
04.01.2020,20_1,1,рыбий жир,8,0,100,0,,,900,0,8,0,0,0,72
04.01.2020,20_1,1,рыбий жир,8,0,100,0,,,900,0,8,0,0,0,72
04.01.2020,20_1,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
04.01.2020,20_1,1,гречка вар,400,4,1,20,"2,938090241",0,100,16,4,80,"11,75236097",0,400
04.01.2020,20_1,1,масло оливковое,12,0,92,0,0,0,824,0,"11,04",0,0,0,"98,88"
04.01.2020,20_1,1,индейка,300,25,1,0,0,0,130,75,3,0,0,0,390
04.01.2020,20_1,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
04.01.2020,20_1,1,гематоген,10,7,"3,4",82,,,390,"0,7","0,34","8,2",0,0,39
04.01.2020,20_1,1,мармелад,15,0,0,82,,,310,0,0,"12,3",0,0,"46,5"
04.01.2020,20_1,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
04.01.2020,20_1,1,огурцы маринованные,30,"0,3","0,2","2,3",,,11,"0,09","0,06","0,69",0,0,"3,3"
04.01.2020,20_1,1,макароны вар 150/320,230,7,1,32,,,163,"16,1","2,3","73,6",0,0,"374,9"
04.01.2020,20_1,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
05.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
05.01.2020,20_2,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
05.01.2020,20_2,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
05.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
05.01.2020,20_2,1,рыбий жир,16,0,100,0,,,900,0,16,0,0,0,144
05.01.2020,20_2,1,мед,8,"0,5","0,2",80,0,80,330,"0,04","0,016","6,4",0,"6,4","26,4"
05.01.2020,20_2,1,сырники,25,19,4,11,,,143,"4,75",1,"2,75",0,0,"35,75"
05.01.2020,20_2,1,рис бур вар,400,3,1,26,,,120,12,4,104,0,0,480
05.01.2020,20_2,1,минтай,200,23,"1,2",0,,,111,46,"2,4",0,0,0,222
05.01.2020,20_2,1,спаржа,100,"2,2","0,1","3,9",,,20,"2,2","0,1","3,9",0,0,20
05.01.2020,20_2,1,плов индейка/перловка,330,10,5,13,,,130,33,"16,5","42,9",0,0,429
05.01.2020,20_2,1,помидор,500,"0,9","0,2","3,9","1,2","2,63",18,"4,5",1,"19,5",6,"13,15",90
05.01.2020,20_2,1,кешью,25,18,44,30,,,553,"4,5",11,"7,5",0,0,"138,25"
05.01.2020,20_2,1,грецкий орех,7,15,65,14,,,654,"1,05","4,55","0,98",0,0,"45,78"
05.01.2020,20_2,1,мандарин,140,"0,8","0,3",13,,,53,"1,12","0,42","18,2",0,0,"74,2"
05.01.2020,20_2,1,чернослив,20,"2,2","0,4",64,,,240,"0,44","0,08","12,8",0,0,48
05.01.2020,20_2,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
06.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
06.01.2020,20_2,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
06.01.2020,20_2,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
06.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
06.01.2020,20_2,1,рыбий жир,6,0,100,0,,,900,0,6,0,0,0,54
06.01.2020,20_2,1,грецкий орех,15,15,65,14,,,654,"2,25","9,75","2,1",0,0,"98,1"
06.01.2020,20_2,1,сырники,50,19,4,11,,,143,"9,5",2,"5,5",0,0,"71,5"
06.01.2020,20_2,1,макароны вар 150/320,600,7,1,32,,,163,42,6,192,0,0,978
06.01.2020,20_2,1,Яйцо белок,400,"11,1",0,1,0,0,46,"44,4",0,4,0,0,184
06.01.2020,20_2,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
06.01.2020,20_2,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
06.01.2020,20_2,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
06.01.2020,20_2,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
06.01.2020,20_2,1,помидор,400,"0,9","0,2","3,9","1,2","2,63",18,"3,6","0,8","15,6","4,8","10,52",72
06.01.2020,20_2,1,Шоколад молочный,10,"8,1",55,31,,,542,"0,81","5,5","3,1",0,0,"54,2"
06.01.2020,20_2,1,гематоген,10,7,"3,4",82,,,390,"0,7","0,34","8,2",0,0,39
07.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
07.01.2020,20_2,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
07.01.2020,20_2,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
07.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
07.01.2020,20_2,1,сырок Ласковое лето,15,"12,2","15,6","5,3",,,210,"1,83","2,34","0,795",0,0,"31,5"
07.01.2020,20_2,1,икра Совьет,16,"28,9","11,1",0,,,216,"4,624","1,776",0,0,0,"34,56"
07.01.2020,20_2,1,грудка,250,31,"3,6",0,0,0,165,"77,5",9,0,0,0,"412,5"
07.01.2020,20_2,1,картофель печ,70,"1,92","6,4","16,4",,,128,"1,344","4,48","11,48",0,0,"89,6"
07.01.2020,20_2,1,сырок Ласковое лето,21,"12,2","15,6","5,3",,,210,"2,562","3,276","1,113",0,0,"44,1"
07.01.2020,20_2,1,икра Совьет,24,"28,9","11,1",0,,,216,"6,936","2,664",0,0,0,"51,84"
07.01.2020,20_2,1,макароны вар 150/320,200,7,1,32,,,163,14,2,64,0,0,326
07.01.2020,20_2,1,мандарин,180,"0,8","0,3",13,,,53,"1,44","0,54","23,4",0,0,"95,4"
07.01.2020,20_2,1,Шоколад молочный,15,"8,1",55,31,,,542,"1,215","8,25","4,65",0,0,"81,3"
07.01.2020,20_2,1,помидор,250,"0,9","0,2","3,9","1,2","2,63",18,"2,25","0,5","9,75",3,"6,575",45
07.01.2020,20_2,1,огурцы маринованные,50,"0,3","0,2","2,3",,,11,"0,15","0,1","1,15",0,0,"5,5"
07.01.2020,20_2,1,макароны вар 150/320,100,7,1,32,,,163,7,1,32,0,0,163
07.01.2020,20_2,1,Яйцо белок,62,"11,1",0,1,0,0,46,"6,882",0,"0,62",0,0,"28,52"
